"","x"
"2095",59300080.8044703
"2096",60521069.7613778
"2097",61209222.6995689
"2098",60907369.0805668
"2099",59301965.1763802
"2100",60827344.4878324
"2101",60638045.6600153
"2102",59289992.8824414
"2103",60722560.5684001
"2104",61318862.9956179
"2105",59935842.4826947
"2106",59280509.3442351
"2107",59962413.3131706
"2108",59107254.6698766
"2109",60878660.493503
"2110",60481047.8909176
"2111",59718526.6233641
"2112",60560487.9329198
"2113",61477949.0985525
"2114",60573568.5450179
"2115",59694321.3219155
"2116",60798093.59697
"2117",62647375.7109033
"2118",58938601.4806897
"2119",60829353.8551537
"2120",60465104.6439776
"2121",59271790.7114266
"2122",61443866.9109036
"2123",59558249.2567337
"2124",60761959.9215422
"2125",59215507.3525515
"2126",60229799.253539
"2127",61182476.1318191
"2128",60582142.048277
"2129",59603158.7975815
"2130",59184486.3904525
"2131",60364268.7312902
"2132",59828698.2106787
"2133",60183875.9583452
"2134",59834792.4972977
"2135",61855166.2314203
"2136",61047957.5203546
"2137",60068259.5741854
"2138",61181828.1018974
"2139",60498106.2398053
"2140",59074528.3391383
"2141",60413800.4412202
"2142",61323278.6118545
"2143",58868976.4517055
"2144",61305497.9843109
"2145",59883738.3723927
"2146",63035812.3729065
"2147",60398937.1574574
"2148",58558540.0368783
"2149",61140736.3900356
"2150",60015499.67363
"2151",62971267.1021885
"2152",62076302.4709543
"2153",61406939.0510791
"2154",59957935.1170772
"2155",58801494.574083
"2156",61879090.0615593
"2157",59942785.993841
"2158",60908425.2157684
"2159",60192435.682808
"2160",60803175.5463846
"2161",60795975.245282
"2162",59511347.9510224
"2163",58298859.5472229
"2164",60494842.9697441
"2165",59326855.2687457
"2166",59138608.7674474
"2167",60481817.4461361
"2168",62297003.6676424
"2169",58969183.7845973
"2170",60703422.5885295
"2171",61713394.0211595
"2172",60110919.2378058
"2173",60387007.6660384
"2174",58121709.4035596
"2175",59959728.9366455
"2176",60751669.2717378
"2177",59844951.6320737
"2178",61546887.1164415
"2179",59563595.4739875
"2180",62029227.2164524
"2181",61618809.650033
"2182",60980934.1463176
"2183",61673622.0938647
"2184",61797688.8709307
"2185",59544845.7822295
"2186",60939217.5995107
"2187",60559332.4303677
"2188",59458340.0280519
"2189",61102418.461004
"2190",59265083.364549
"2191",60081126.3962369
"2192",60116891.510546
"2193",60383694.6074498
"2194",60776711.7965198
"2195",59866816.3795976
"2196",60010047.5976994
"2197",61070617.6095265
"2198",60316874.5019822
"2199",60817699.7763981
"2200",59457311.6839312
"2201",58790034.9497799
"2202",62210111.5067941
"2203",60721516.6716698
"2204",60834509.6369003
"2205",60318998.924748
"2206",59579217.797468
"2207",61076327.1823777
"2208",60971824.3956781
"2209",60758765.9951858
"2210",59737529.4413853
"2211",60888496.6897656
"2212",59867716.3224056
"2213",59992309.7796165
"2214",61588708.383789
"2215",60778630.166088
"2216",60969555.6372175
"2217",60838592.2017245
"2218",60388962.8914112
"2219",61939169.2672719
"2220",60841563.4381001
"2221",59282652.7050667
"2222",61263128.5087831
"2223",60925928.5364716
"2224",61473097.2151965
"2225",59538906.9487258
"2226",60751247.0144341
"2227",57854230.8009496
"2228",61251357.7014815
"2229",60512658.102815
"2230",60933763.5239676
"2231",60250020.7824912
"2232",61025865.5667993
"2233",60164010.2296013
"2234",59579846.6659209
"2235",60715794.1549663
"2236",61114579.4781151
"2237",59839855.7410312
"2238",59287966.9689448
"2239",58543298.7850003
"2240",60646207.7038921
"2241",61988631.2032022
"2242",60370191.9501532
"2243",61252535.5792916
"2244",59178935.7952814
"2245",59706114.7121821
"2246",60437175.846752
"2247",62585881.392958
"2248",60592531.4840033
"2249",59579424.7889262
"2250",60781542.2903753
"2251",59409294.3299609
"2252",58697634.7274473
"2253",59640346.7882218
"2254",61732578.2282039
"2255",59908669.9617761
"2256",58226345.5851412
"2257",60184509.8785805
"2258",59267423.8390161
"2259",59891012.0535295
"2260",60493855.4342083
"2261",61473185.3706251
"2262",61322644.8440673
"2263",60363392.8766831
"2264",59728696.9032775
"2265",59188119.649293
"2266",58588213.1147695
"2267",60773374.2068693
"2268",59670909.3437114
"2269",60222812.3267498
"2270",60289339.8684837
"2271",60827074.3431444
"2272",60360708.6267524
"2273",60659458.0920307
"2274",59757802.0398746
"2275",60006726.7141446
"2276",61492053.7089824
"2277",59912127.2819808
"2278",60253947.4398427
"2279",60812473.7879491
"2280",61191944.6062121
"2281",61139929.1073423
"2282",60731106.9227733
"2283",60932847.8194416
"2284",59805975.4421445
"2285",61206228.0617492
"2286",62294859.2366598
"2287",61964805.6392853
"2288",60376682.3007851
"2289",60101020.4935029
"2290",60650574.4243998
"2291",60352337.2769111
"2292",62132023.4984131
"2293",59030662.0154726
"2294",60108845.8558232
"2295",60194804.5478417
"2296",58243680.9941904
"2297",58924601.2086487
"2298",58896325.8791716
"2299",59602155.9270825
"2300",60792744.2887767
"2301",62475961.6622378
"2302",60064515.7378786
"2303",60176988.8933876
"2304",59722752.9791512
"2305",61066961.8925657
"2306",60107861.7696904
"2307",61057859.2201006
"2308",60053220.9048025
"2309",61143968.3308395
"2310",60579341.0420125
"2311",60643794.7229127
"2312",61200122.8294869
"2313",59245930.122262
"2314",60926446.2584108
"2315",59118865.0842009
"2316",59730580.8166781
"2317",60035091.348277
"2318",60459001.9379085
"2319",61692446.5378939
"2320",60718334.1047513
"2321",60015058.3297763
"2322",58838947.1817893
"2323",60890511.1517292
"2324",59417264.1111424
"2325",61059872.7094849
"2326",60730164.0066516
"2327",60531522.1640244
"2328",59914410.0684053
"2329",60255834.8017147
"2330",59852372.4522587
"2331",61547471.9712467
"2332",60120779.9034386
"2333",60960400.4435348
"2334",60218966.4277903
"2335",60580392.4959041
"2336",61166329.2542157
"2337",60956990.1139298
"2338",60528040.3509091
"2339",61409630.5777398
"2340",60682405.0326972
"2341",60707166.91142
"2342",62404040.0574635
"2343",59789828.319716
"2344",60706092.0812978
"2345",60737022.669723
"2346",61027689.4575131
"2347",62553139.7726106
"2348",60642543.9461215
"2349",60074187.1513172
"2350",59421610.0770219
"2351",61179976.16858
"2352",60882544.8993987
"2353",59620220.2176456
"2354",61003842.1959767
"2355",59909159.1982172
"2356",60117175.4447087
"2357",60915503.5791068
"2358",59997540.9392754
"2359",59609658.8257916
"2360",60320299.6414473
"2361",59783639.1651149
"2362",60334344.9954099
"2363",60694185.2676601
"2364",58945520.5155229
"2365",62176256.049759
"2366",59989297.4257972
"2367",60707922.8540884
"2368",59912096.971425
"2369",61697919.6646423
"2370",58845936.8141073
"2371",59960808.8602045
"2372",59982991.4857567
"2373",60972776.9043426
"2374",60735779.8165793
"2375",60463727.3168624
"2376",60954818.4392907
"2377",58635642.2439378
"2378",60597631.1341235
"2379",61705712.199857
"2380",60951584.7951328
"2381",59815575.7701136
"2382",60292813.1122467
"2383",61428296.0111468
"2384",60394006.0550181
"2385",59387462.7343544
"2386",61457864.704368
"2387",60386893.260141
"2388",60159630.2479376
"2389",59741176.6671104
"2390",60028256.4739565
"2391",61496503.97285
"2392",60630525.9998438
"2393",61214267.2970154
"2394",59744793.3450742
"2395",60158165.3125454
"2396",60542043.155366
"2397",60480727.3027416
"2398",60805582.5143024
"2399",59116204.3749265
"2400",58584461.6442748
"2401",59031555.3141976
"2402",59674758.1347712
"2403",60281306.1422667
"2404",59296122.5729472
"2405",59268521.3960849
"2406",59714238.6988501
"2407",62019018.1154892
"2408",59708554.1425118
"2409",59470045.654494
"2410",61069522.3655021
