Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Date,IFNULLSign,Table Name,ValueNumberSigns,DateAdd,Raw Value,ScaledValue,Suffix,Value
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/04/2019,,owner_occupier_1,,1/05/2014,11998,11.998,k,11998
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/05/2019,,owner_occupier_1,,1/06/2014,13974,13.974,k,13974
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/06/2019,,owner_occupier_1,,1/07/2014,11665,11.665,k,11665
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/07/2019,,owner_occupier_1,,1/08/2014,13744,13.744,k,13744
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/08/2019,,owner_occupier_1,,1/09/2014,13820,13.82,k,13820
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/09/2019,,owner_occupier_1,,1/10/2014,13911,13.911,k,13911
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/10/2019,,owner_occupier_1,,1/11/2014,14487,14.487,k,14487
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/11/2019,,owner_occupier_1,,1/12/2014,14455,14.455,k,14455
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/12/2019,,owner_occupier_1,,1/01/2015,14781,14.781,k,14781
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/01/2020,,owner_occupier_1,,1/02/2015,13158,13.158,k,13158
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/02/2020,,owner_occupier_1,,1/03/2015,13541,13.541,k,13541
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/03/2020,,owner_occupier_1,,1/04/2015,15147,15.147,k,15147
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/04/2020,,owner_occupier_1,,1/05/2015,15099,15.099,k,15099
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/05/2020,,owner_occupier_1,,1/06/2015,20095,20.095,k,20095
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/06/2020,,owner_occupier_1,,1/07/2015,21133,21.133,k,21133
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/07/2020,,owner_occupier_1,,1/08/2015,15900,15.9,k,15900
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/08/2020,,owner_occupier_1,,1/09/2015,15534,15.534,k,15534
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/09/2020,,owner_occupier_1,,1/10/2015,17736,17.736,k,17736
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/10/2020,,owner_occupier_1,,1/11/2015,16225,16.225,k,16225
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/11/2020,,owner_occupier_1,,1/12/2015,14178,14.178,k,14178
